image_name,directory,classification,model_percentage
COVID-00020.jpg,03,COVID,65.81
061.jpg,03,COVID,99.84
04.png,03,COVID,99.44
032.jpeg,03,COVID,95.36
084.jpeg,03,COVID,52.72
088.jpeg,03,COVID,99.23
016.jpeg,02,NORMAL,77.92
014.jpeg,02,NORMAL,80.97
064.jpeg,02,COVID,97.25
065.jpeg,02,NORMAL,98.22
022.jpeg,02,NORMAL,98.69
025.jpeg,02,NORMAL,96.69
061.jpeg,02,NORMAL,98.74
050.jpeg,02,NORMAL,99.95
086.jpeg,02,NORMAL,93.13
019.jpeg,02,COVID,73.28
03.jpeg,02,NORMAL,91.41
066.jpeg,02,NORMAL,99.99
073.jpeg,02,NORMAL,100.0
097.jpeg,02,NORMAL,99.01
058.jpeg,02,NORMAL,69.57
080.jpeg,02,NORMAL,99.99
076.jpeg,02,NORMAL,97.34
05.jpeg,02,NORMAL,71.99
081.jpeg,02,NORMAL,94.88
060.jpeg,02,NORMAL,96.85
059.jpeg,02,NORMAL,100.0
08.jpeg,02,COVID,98.09
083.jpeg,02,NORMAL,100.0
017.jpeg,02,NORMAL,94.94
092.jpeg,02,NORMAL,100.0
094.jpeg,02,COVID,61.94
093.jpeg,02,COVID,61.94
057.jpeg,02,NORMAL,99.56
063.jpeg,02,NORMAL,99.3
012.jpeg,02,NORMAL,79.74
075.jpeg,02,NORMAL,98.7
02.jpeg,02,NORMAL,76.21
070.jpeg,02,NORMAL,97.71
062.jpeg,02,NORMAL,99.99
051.jpeg,02,NORMAL,99.64
079.jpeg,02,NORMAL,100.0
020.jpeg,02,COVID,73.28
074.jpeg,02,NORMAL,100.0
06.jpeg,02,COVID,50.59
010.jpeg,02,NORMAL,100.0
067.jpeg,02,NORMAL,99.95
07.jpeg,02,NORMAL,100.0
091.jpeg,02,NORMAL,100.0
077.jpeg,02,NORMAL,99.99
013.jpeg,02,COVID,69.76
011.jpeg,02,COVID,72.07
01.jpeg,02,NORMAL,100.0
021.jpeg,02,NORMAL,92.41
056.jpeg,02,COVID,72.5
096.jpeg,02,NORMAL,100.0
024.jpeg,02,NORMAL,95.19
082.jpeg,02,NORMAL,100.0
04.jpeg,02,NORMAL,100.0
055.jpeg,02,NORMAL,100.0
071.jpeg,02,NORMAL,77.44
023.jpeg,02,NORMAL,77.98
069.jpeg,02,NORMAL,99.98
087.jpeg,02,NORMAL,99.11
054.jpeg,02,NORMAL,99.17
085.jpeg,02,NORMAL,99.96
068.jpeg,02,NORMAL,99.69
015.jpeg,02,NORMAL,96.6
072.jpeg,02,NORMAL,100.0
095.jpeg,02,NORMAL,99.52
053.jpeg,02,NORMAL,74.86
052.jpeg,02,COVID,68.35
018.jpeg,02,NORMAL,99.39
09.jpeg,02,NORMAL,66.2
084.jpeg,02,NORMAL,100.0
088.jpeg,02,NORMAL,100.0
